User,Rating,Title,Helpfulness,Comment,Date
ebp913,5,Awesome portable projector!,2,"We have several friends with large projector displays... huge boxes with lots of wires, a giant screen, etc.  We initially wanted something like that but when we came across this item, it was exactly what we were looking for. We travel a lot and we wanted to be able to bring something small and portable with us without lugging an entire bag of gear.  This projector is exactly that! The battery life is great and the picture quality is awesome for such a small device. I haven't once though to myself, man this picture quality is bad.  It's a bit of trade off but if portability is your biggest concern, this is the device for you.  We use it for watching movies, sports, etc outside and it's perfect for that.  The size is just amazing for what it can do. We've downloaded some movies directly to the device so we can use it when we don't have wifi or cell reception and it's perfect for that also.  Love this thing!  We also got this tripod for it and it's perfect... small and compact and flexible https://www.amazon...",12/09/2018
CL,5,Awesome projector! Totally replaced my TV.,2,Awesome projector. Much better/brighter picture and louder sound than I expected. The room doesn’t have to be completely dark and you still get a great picture even just on white wall without a screen. It’s pretty easy to set up. Customer service is responsive if you need them. You can download Netflix and Hulu movies and watch movies offline (for example outside) so you don’t have to be on WiFi. The Aptiode app that you have to use to access Netflix/Hulu is clunky but usable. I tried using airplay to mirror Zoom dance classes but there is a slight delay. Still have not gotten it to mirror my laptop using the hdmi but haven’t gone through trouble shooting with Cust service yet.,02/11/2020
Goth Spice,1,Not worth the money,2,"1. They’ve lowered the price on this item the day I received it in the mail. Since Amazon won’t do a price adjustment, I would have to return this item and purchase a new one at the lowered price. This is insane considering that prime isn’t prime anymore, I’d have to wait another 3 weeks for this to process.2. The apps available are weak and a waste of space so you have to stream or mirror your other device.3. Since you can’t adjust the zoom or angle of this projector. You have to invest more money in a tripod.So unhappy with this.",29/04/2020
Just another public opinion,1,Look elsewhere not very bright and blurry edges,,"The picture is horrible at 100 inches. You either get clean edges and horrible center picture or horrible edges and decent center pictures. For 300 you can find better options out there. It’s not even 720p it’s like vga video quality. The speaker is horrible. It says you can use it as a Bluetooth speaker. My iPhone’s speaker is better than this thing. Will also just randomly shut off on you. For this price, i would expect better. This is going back. Will try something else.",11/06/2021
jairo steve carrero,4,It's so small and it does so much!,null,"It's loud, the fans, if you are in a small room and have it replacing your tv. It sparks conversation among friends as it it super small and can expand so much and still look super clear. It could be brighter but hey it already does a LOT for its size. Sometimes on videos that are too saturated it will lag, like the ones from Kurzgesagt.... for some reason his videos always freeze and I'm not kidding. I never got it to connect to the air play or smart view, I had to get me an external hdmi smart view adaptor to make it work as such. You won't be able to turn a party with the speaker as it lacks base and loudness; however it works good on a small room to watch a movie. Overall if you want to get one for on the go and to surprise family and friends at parties this is your gadget. If you want something professional or robust they offer more options.",07/01/2021
JE,5,Anker Service is the Best - the Nebula is pretty great too.,2,"When we bought the Nebula, I pulled the plastic tab the remote to activate the battery.  I didn't realize this wasn't like a the tabs that come on toys and ended up breaking the battery cover.  I called Anker and, Kevin, immediately sent out a replacement remote - no questions asked.  Great, well and good and expected.A month later, Kevin called back to see how the remote and projector were working - it Anker, they were working great - and then told me about the carrying case.  I had considered buying this case at the time of purchases, but didn't want to put money into it.  Assuming, like other customer service companies, that this was an attempt to up-sale, I asked Kevin the price.  ""No, no,"" he said, ""It doesn't cost anything.  It is for customer appreciation.""  Talk about going above and beyond.  They fixed the issue, called to make sure the issue was fixed, and value added just to make sure we were satisfied.As to the Nebula, is is pretty great too.  We have it as an outdoor theater camera.  We put a ...",25/08/2018
Pzam,5,"Small, compact and works!",,So I was hesitant to purchase this because of the price. I was worried I'd spend and it wouldn't work. But I am so glad I bought this. It is limited on the apps you can download but yes you can call customer service and they will give you the instructions and password to unlock the Google apps. Makes using it so much better. I am definitely happy with this purchase. It does need to be somewhat dark to be visible but once it's dark it is awesome. I know there's a brighter one but I didn't want to spend quite yet. But I definitely recommend this. We use it outside to watch the basketball games and you can make it pretty big,10/08/2020
Seth,5,Best purchase!,2,"Before I make any critiques, I absolutely LOVE this projector. I bought it initially because I was stuck in the Army barracks and not able to do much because of COVID and needed some entertainment. For its price and size, it is absolutely unmatched. The quality of video is absolutely amazing and when focused is just as good as any TV. The brightness of course could be better but again, with the price and size of the projector I was beyond impressed. I also love how you can download just about any app to exist to watch whatever movies you want on the go. I’m not a huge fan of the remote, it seems like it’s functionality is very limited with a lot of the apps and sometimes bad on connection— easily fixed with the Nebula app. You can use the mouse mode to control everything. Brilliant product and I highly recommend it",15/10/2020
emcube,5,"Impressive Portability, quality and value",null,"With total regret, I ended up returning this product due to the image being *very* minutely off balance, but when making the image larger, it was all could notice on the exact fit wall used. It makes an amazing 9’ x 6’ image (12 feet away) which was great for wall casted Blue Planet (4 foot dolphins!). Best in the dark, but can also be used in low light for personal use, or a budget business use. If in a daylight setting - it does better about 3-5 feet from the projection surface. The speaker works well, but I paired it with a Bluetooth speaker (highly recommended) for full depth of sound to match the giant picture. This portable projector is: easy to set up out of the box, the phone app Is well integrated, the available downloads (hulu, Netflix, etc) appear just like on other viewing devices, phone mirroring is easy, the fan is a low quiet hum (less then a desk fan), and the battery lasts the 4+ hours it promises. The little focus dial works easy and sufficiently, as well as the auto calibration to level ...",11/08/2019
J. Lee,4,Decent product,null,"Update: this company really cares about their products and their service. From all my amazon experiences this company has one of the best customer service to address the problem you are facing at hand; hence I added one more star.For whopping 300 dollars not convinced whether this was all worth it. First the best feature: SPEAKERS. Honestly I don’t feel the need to attach any external speakers. Second best: Battery life. It’s pretty awesome you can watch a whole movie or two without having to worry about recharging. Everything else is nothing impressive; the light is pretty low, can’t see much as long as the sun is still hangs low in the sky, resolution is low that you can see the individual pixels at just about 30+ inches screen size(I cannot imagine the low quality it being projected for 50in). Design is cute and it is very portable. My return window closed while debating and I guess I am ok keeping it but not thrilled, hence 3 stars.",16/07/2020
NeitLife Adventures,4,Excellent little piece of hardware with serious software flaws,null,"We’ve been talking ourselves out of returning this in favor of a cheaper option but the convenience is just so worth it. It’s tiny, it comes with decent sound (think mid-range Bluetooth speaker), and it can run without cables.The downsides are there. I gave up on the onboard apps. The remote doesn’t work with any streaming service and requires you to use the Nebula app. And even then, you have to change it to “mouse mode” in order to make it work. Highly recommend connecting it to an Apple TV or hooking up a fire stick to keep the bulk down.That being said, I connected the Xbox and ran with that.Automatic keystone adjustment is hit or miss. In ideal settings I’m sure it works well. But on an RV it’s basically point it and the brightest surface in the room you’re in so it’s hard to get the keystone levels dialed in. Eventually you accept it the way it is. So, the portability makes it worth it. The tiny fan sounds like static so it can be a little annoying if it’s close to you.",24/10/2020
J. R. Knutson,4,Anker Customer Support is THE BEST,,"My first Capsule died unexpectedly and for no apparent reason. The return and replacement was simple, straight forward, and quick. I encountered and odd problem with the Capsule that ""was NOT the fault of the Capsule."" There is a software app (Nebula Connect) that is necessary to use certain Capsule features (like: YouTube, Netflix, Amazon Prime Video) and the app worked perfectly with my wife's Pixel 4A but would not work on my Pixel 4. Anker Customer Support spent several days debugging the issue and stuck with me until the problem was solved. Anker Customer Support provided some of the best customer support I have ever received.",22/11/2020
Joshua,2,"Expensive, Bad Navigation, No Display Resizing.",,"It’s packaged and looks great. However, the remote navigation (or app) is horrible. For the price we paid I would have rather purchased an Apple TV and a projector. In all fairness I’m a big Apple product fan. The other issue is you can’t resize the display. You have to physically move the device. I really feel like I was sold something pretty. The wife uses it and likes it, but she has the same complaints as me. Too lazy to return this and it is functional at the very least. Maybe their more expensive models solve some of these problems? Try them first.",02/09/2020
Stepchild75,5,Netflix - Android phone workaround,,"Although I didn't really notice the small print in the advertising that Netflix can't be mirrored from an Android phone, due to copyright content.  I found a workaround.  The person I bought this for only accesses the Internet through her phone, so mirroring Netflix did not work, but projector has the Netflix client built into it..still we did not have a regular WiFi connection.  We had to tither the Smart phone connection, or share it as a Hot Spot, then the projector picked it up.  Phone Hot Spot is fast enough nowadays to work with the streaming Netflix on the projector successfully without lag.The other workarounds, on the internet stated to start playing Netflix on your Android phone, then screen share/cast it, then it would pop up on the projector - no go.  The other workaround was to hook up both the phone and the projector to a wireless hub and Miracast Netflix from the phone to the projector - I did not try this one.Otherwise, the video quality worked great!  Speaker was loud enough. We are satisf...",11/03/2019
Jules,5,LOVE THIS PROJECTOR!!!,null,"This gadget along with my Eufy 11s robovac have got to be my top 2 favorite purchases/investments this year, if not this decade. I've been eyeing portable projectors on and off for a few years now because I don't own a TV and don't want to bc I find them clunky and easily outdated. So I tend to watch videos on my laptop instead. That's gotten hard on the eyes over the years and not so great for when I have guests over. I've only had this little powerhouse for less than a week but I'm already in love! I'm pretty indecisive, esp with large purchases, so I looked at a lot of options before opting for the Nebula b/c it's kind of expensive relative to some of the other pocket projectors out there. But over the years, it's the one that keeps popping up at the top of review articles/lists and had the full gamut of things that I was looking for. So I finally bit the bullet and I am SO, SO glad that I did!The Pros:- Truly Wireless: I've seen other options that didn't have bluetooth compatibility or issues w/airplay...",24/09/2020
Pam,3,Disappointed and underwhelmed,null,"I wanted to like it and keep it, I really did. I kept trying to convince myself that the picture quality wasn’t bad (it’s merely okay), that I wasn’t bothered by how poor the speaker is (it’s so bad), and I’m sad this was not the TV replacement I was hoping for.My apartment is pretty dark for most of the day compared to most places I’ve lived and it still wasn’t dark enough until night for the projector to show nicely. The speaker is honestly really terrible when compared with…anything else. I connected my UE Boom via Bluetooth in an attempt to solve that issue but the projector wasn’t smart enough to correct for the lag. The difference in audio quality between my external speaker and the projector was the final straw—the audio should not be a selling point.The app that you use to navigate the projector with is a little glitchy but I figured it out and navigation became a breeze, which I appreciated. I mounted it on a tripod and was impressed at how small the device is.I watched hours of shows hoping that ...",23/06/2021
b&e,5,Good for the important stuff. Drawbacks are annoying but not deal-breakers.,3,"UPDATE, June 2019: My dog knocked my projector off the table, and it fell a fairly short distance to the hardwood. It stopped charging after that, and an independent repairperson said it was unfixable. The customer service at Anker was very receptive and agreed to send me a new one, which just arrived. A+ customer service, and pushed my rating from 4 to 5 stars.I've had this for a few days. All the specs you would buy this for are great, but as other people have noted, the OS is clunky and limited and some of the hardware is average. Here's a few notes on specifics.  The brightness is fairly low (during the day with the curtains drawn I could barely see dark colors). The sound quality is alright, but you can hook it up to Bluetooth speakers.  The inputs: the USB to micro USB dongle means you can't plug in a USB and keep the projector charging at the same time because it charges on the only micro USB port it has? Why not just have a USB input?  The Firefox browser you can download has no way to close pop-up...",03/12/2018
Christian Lenoir,4,My first experience was not good but my second attempt worked well,null,"5/22 update: I am updating to 4 stars based on the stellar customer support received after my first experience. Upon initially returning the nebula, Anker reached out asking about my experience. Long story short, I agreed to give them a second chance as it seems the nebula I had initially received was defective. Anker agreed to honor the “deal of the day” price of my initial purchase and work with me to get me a replacement before upcoming travel. I received the new nebula today and this time setup went as expected. While it is still early to say, so far I am happy with how the device is working.———I am puzzled about all the good reviews. Maybe I just got the lemon. I connected everything according to instructions from an iPhone 7+. Upon setting up wifi and bluetooth, and downloading the app, everything was sync'd fine. However, when opening the apps (youtube, amazon, netflix) I consistently got a network error message. I tried projecting from HDMI and got an error saying no hdmi signal. I tried rebooting,...",18/05/2019
Kazi Sohana,5,Great customer service,2,"I purchased my nebula projector recently and I love how it’s so compact and the picture quality is great even though it is so small. I did have an issue with the screen ratio and contacted the anker nebula help email. The quality of their service was beyond anything. They promptly replied to me and helped me fix my issue within a few days and I honestly, think many big companies should take a lesson or two from their customer service reps. They even sent me items to help me fix my issue with the screen and I must say, I’m a lifetime customer for them now. Guys, if you have issues, contact them. You will not be disappointed. Highly recommend this projector and moreover this brand!!!!!",13/11/2020
Erin Barr,3,Great small projector,,"I don’t even know where to start. I’ve read a lot of reviews in this and other products like it. Some people’s expectations of any product are outrageous. But I think those that don’t find this projector meets their needs, should spend more money on a higher quality projector. But if you are looking for small, portable, good quality for an affordable price, then this should fit your needs. I’m in the military and deploy/TDY a lot. I couldn’t ask for a better versatile product. Not to mention when I’m home, the kids love using it. The sound quality is great, the resolution is better than I expected for such a small product.Update 6/17/2020: for some unknown reason the sound is now distorted when playing a video no matter what platform I use. When going through the different apps it seems fine. Makes the normal click sounds. Ran update and still doing it. Pretty bummed since I made sure to take care and store it properly. It’s now rendered useless.",29/12/2018
Lanie Rose Baltch,4,My family loves it!,null,"First of all, this thing is small! Compared to the other projectors I’ve seen. It’s the size of a soda can. My guests would get so amaze whe they see it. How convenient! So easy to store and put away and bring along. We use it for outdoor movie night in our backyard and in my kids’ room for a tv night before bed. We just project the shows/movie on their wall while they watch it on their bed. The picture quality is great. The reason for only 4 stars is it’s not loud enough for outdoor movie night. I have a big backyard and I project the movie to our fence. So it’s not loud enough when outside in a big space. But it is loud enough indoors. But overall I’m very happy with this projector!",06/12/2020
beth,5,Highly Recommend,,"For the size and portability, I don’t think you can find a better unit. The picture is clear and bright (even when shown on a shower curtain.) The battery charges up quickly and lasts at least long enough for a movie. I did not rate the remote because I do not use the remote.As with other reviews, I think they could have done a better job on the speaker. It works fine, but for the price point, it’s no where near the sound quality of my portable JBL. So, we run the sound through the JBL. I think I’m being picky though, and I would still buy it again, even using just the built in speaker.We use this on the patio, on the garage door, on the dock, and even on the kids ceiling. All things considered, this was a great purchase. For our family, it’s been a tool to bring people together 6 feet apart.",04/11/2020
Brian Wolfe,5,Awesome Niche Projector,null,"It’s an amazing piece of technology. Perfect for what it is. Very portable projector that has everything you need for viewing entertainment. Easy to set up and start streaming quickly. Built in speaker is good enough for most occasions, but easily connects to a larger Bluetooth speaker if needed. Picture quality and brightness aren’t going to be comparable to full size projectors, but still looks good in a dark space. The internal operating system is constantly improving where you have access to all your streaming services. Of course Anker has excellent customer service and they are quick to help you troubleshoot any issues you have. I would highly recommend this projector for an outdoor movie, traveling or just as a way to watch a big screen occasionally on your wall at home. A tripod is helpful for perfectly positioning the capsule.",16/09/2020
Stickman33,3,Brightness and Windows Projection Not Great,,"I bought this last year more as a gadget at a reasonable price than a real need.  Form factor, operating system, and sound are very good.  However, when testing it for projection purposes at my kids' school, I found that connecting via my MacBook and iOS/Android, worked great.  I was not able to do Windows without using the HDMI connection. (I could have been doing something wrong but it certainly didn't ""just work"" like other operating systems)I then tried to use it during a school meeting and quickly realized the brightness just didn't work unless the room was completely dark.  The newer model has twice the brightness, but at its' current cost, I'd definitely research other options.",17/09/2019
Miller,3,NO AUDIO OUT!!!,2,"This is the nicest picture I’ve ever seen from a small projector. Virtually everything about its functionality is awesome BUT because there is no way to amplify the audio any louder it can basically only be used indoors in a small room. Virtually every projector I’ve ever seen has an audio out so you could run the audio through a louder sound system with this huge screen but this does not. So, a movie by the pool on a summer night it’s just not gonna work.",18/12/2019
Jim Vasquez,5,Perfect,,"This little projector is awesome! Super small, easy to set up, pretty decent sound from the built in speakers and having Netflix, Prime and youtube being pre loaded into it makes for streaming so much easier rather than going the extra step of having to connect a roku stick or taking a game system out with it. Description says netflix isn't compatible or something like that but I've already seen a few shows and movies with no issues at all. I'm very happy with this purchase.",31/10/2020
Good Times,5,Very cool and excellent customer service!,,"* Initial review*First off - this is a fantastic idea and rock solid device! Works great and is mobile as can be, which we love!Initially, after spending time with support, I was eventually told Hulu does not work on this device. If you are planning to download the Hulu app from the App Store, note that it will not work. Or at least it did not initially for me, even though I followed the instructions and even called tech support.They do mention in their description that mirroring or casting Hulu will not work but they mention the app will. It definitely did not work initially, even after spending quite a bit of time with tech support.*EDIT*Helen from the customer service team from Anker has been incredibly responsive and helpful and happy to say the projector is now working great with Hulu! I very much APPRECIATE when companies back up their products with fantastic service and they have done so here. Thank you!",04/01/2019
Donella Muzik,5,Astonishing product — great picture and easy to connect!,,"We are in love with the Nebula Capsule! Purchased for my husband as a special surprise, and he and the whole family are having a blast with it. Set up was a snap, and all devices (PC and Mac laptops, iOS smartphone, Android smartphone)  have been able to easily connect. The sound is outrageous for such a tiny machine, and the picture offered amazing clarity. We did a big family test running the native Amazon Prime app — Black Panther looked and sounded better than we could have imagined. We projected onto a large, smooth white wall, with the image at about 4'x6'. Stunning! My husband also screencast to it from his Windows Surfacebook and had zero trouble establishing a connection. He is excited to use it with customer presentations. It's not often that a product is as out-of-the-box awesome as the Nebula Capsule. It does everything it says it will and does it quickly without fuss. If you are looking for a fun little projector that has the brains of a smartTV, the audio power of a home theater, and incredib...",22/05/2018
William Coleman,5,Good product with even better customer service!,,"Used for business presentation and I failed to adjust the brightness all the way up so it was hard to see - gotta play with the settings.  I downloaded a Netflix show on my phone and tried to stream it offline to the projector and some copyright notice came up saying I could not stream this kind of content and that I needed a plug. Huh? I just want to stream a show from my phone to the projector but the good lawyers at Netflix have made this not possible. Instead, if you want to watch movies or shows in an area without an internet connection, you need to download the movies via the Nebula. This is the same situation for ANY brand that you buy. This was a trick that Kevin from Nebula told me. My original review pointed out some shortcomings of the unit but they called me to specifically address these concerns so now I have a number of fixes to try. Great customer service! I know that if I have an issue with the unit, they will definitely be there to support me.",19/09/2018
Launie J.,3,Youtube sign in tip/trick,null,I was absolutely shocked at the top tier quality of this product. The fact that I can use this in a well lit room is mind blowing!One major issue though. The apps. Specifically YouTube. Upon initial attempts the app continues to crash and unfortunately this has been mentioned in prior reviews multiple times and it doesn’t appear as though Anker isn’t too vested in resolving this. Nonetheless I found a slight lifehack for this Nebula!“Watch on tv”If you’re signed into YouTube on your phone and you have a playlist you’d like to access or if you PAY for no commercials .. this is the simplest method of having YouTube recognize your account while projected.1. Go to settings (within YouTube) on the Nebula (you MAY have to select “more settings”)2. Scroll down to “Link with TV code”  2a. Once the code generates go to step 33. Open YouTube up in your mobile app and go to settings4. Select “watch on tv” it should then ask you to enter the code you will see projected via Nebula.Keep in mind this will only have speci...,25/03/2021
Jewel,5,This thing is AWESOME!!!,null,"I got this for my family for getting together with people outdoors/socially distanced during the pandemic.  I also bought a portable screen, and I'm going to set it up in the street so that we can watch movies with the neighbors or with my parents without getting too close.  It does not need to be plugged into anything- it runs off battery and is controlled by an app on my phone.  We can stream Netflix, Amazon, YouTube, etc.  It was a splurge, but no regrets.  We are having a blast.  And it's truly the size of a soda can.  We will connect it by bluetooth to some more powerful speakers, but the speaker on this does the trick if it's just my family.  Super fun, cool thing.  It's worth the extra money to not have to deal with power cords.  I'm going to let my teenager invite his friends over to watch Hamilton.",08/07/2020
Mia M,5,Love this thing!,,I love this projector. I have a small room and didn't want a wall to be taken up by an actual TV nor did I want to make any holes/marks. The sound is incredible out of this tiny thing. We have had parties and played it outdoors and everyone loves it. The remote is ehh but you can use your phone as a remote as well.Almost a year later and my device would not turn on. I contacted customer service and it was quick reply and they rectified the issue very fast. They even followed up after sending me the replacement to make sure that everything went well.  Very simple and swift.I cannot recommend this more. Best gift I have ever gotten myself.,05/11/2019
Buckeye in da Boro,5,An entire movie night... in a soda can!  It's amazing!,null,"I bought two of these in 2018 as gifts for my daughters in college.  They use them for movie nights as you can watch Netflix, Hulu, Amazon, etc. anywhere you have wi-fi and all from this tiny projector... literally no cords attached.  I always regretted not buying one for myself, especially as we have been social distance gathering in the back yard, so they bought me one for Father's Day.  The one I got had some issue where it wouldn't hold a charge, and they bought it a couple months early so Amazon wouldn't take it back, but Anker offers a one year warranty.  Literally one online form to fill out and one email, and I mailed it back (free) and got a (free) replacement in less than a week.  Great customer service from Anker!  Just enjoyed a movie night in the back yard from this amazing device.  I love it!",26/07/2020
Shred686,5,I did not expect to have any particularly spectacular brightness ...,20,"I did not expect to have any particularly spectacular brightness level or image quality, but just wanted something portable to throw up on the wall in my bedroom. I was very impressed with how bright and sharp the image is. Works perfectly for my use which is mainly PS4/Nintendo Switch. The interface is very simple and it comes with an app to use your phone as a remote. This thing is totally worth the cost.",11/02/2018
M. Beth Van Ven,5,What a cool smart little projector,null,"Wow!  In our VW EVC set the capsule on the top bunk and add a white cloth and it was Magic!  Runs pretty well with WiFi, a bit frustrating to set up but once we got it going it ran about 2 1/2 hours but it was fantastic that you can connect a battery while it keeps running. The HDML port to my Kindle was amazing!  Knew we would be without WiFi so I downloaded a few movies (Bloodshot) and was just awesome!!  Haven’t tried the DVD player yet but it’s on the list!  Sound is great, size is a pop can and a neoprene cozy keeps it safe as there was no bag or case as I’d seen in some unboxing reviews. It’s very nice to have a manual focus and the remote control works pretty well.",23/08/2020
Julia,5,I. AM. BLOWN. AWAY,2,"This little thing is amazing!!!! Yes, its expensive, but worth investing in if you need a projector. You can go totally wireless once its charged, and IT IS A SMART TV!! like when you turn it on it is already a smart tv without having to download any programs... so you just sign into your netflix or hulu or whatever and voila! Its pretty awesome.Its not amazing for using when the sun is out– preferably in darker or shaded areas. The speakers are AWESOME and loud. It really does last 4 hours when fully charged. On the flip side– it takes like 10 hours to reach a full charge lol but it works while plugged in so its not a major issue. 10/10 get this little prjector!!",28/09/2018
Kindle Customer,5,Original  not new but was replaced,,null,29/01/2021
Meher,5,Died in two years (Updated),,"Update: Anker's support team followed up with me and went above and beyond to resolve my issue.===============The bulb stopped turning on. I was told that this had 30000 hours of life and I had come even barely close to that amount. Because I am out of the warranty period, Anker is refusing to support me in any way - they don't even want to give me instructions on how to fix it myself or give me the correct part numbers. I tried contacting some repair stores nearby to see if they'd fix it and they all said that they cannot fix it. I tried searching online for instructions on disassembly but I got nothing. So I basically have a can that should have been worth a couple hundred bucks but is now sitting useless because Anker refuses to provide even a minimal amount of support.I'd recently purchased a Nebula Mars as an upgrade (prior to this projector breaking down), but given this level of lack of support from Anker, I'm considering returning my Mars. Which is a pity because I really enjoyed the Capsule projec...",15/05/2020
JCTEXAS,5,Must have for those looking for experiences vs. resolution,,"I did a lot of research on this tiny magic can-sized contraption and waited for a discount code that brought down the price to $260 on Amazon.  Knowing its limitations in terms of brightness and that it has a resolution of 480p are paramount in limiting expectations.  But this magic contraption  made up for it.  Just think about the portability aspect of this.  I can sit on my back deck without cords and without having to plug in a roku/fire stick or additional speakers.  I had an adequate budget projector, but its lack of portability and standalone use made it impractical for impromptu use or to take on camping trips.  I streamed a Quiet Place on Friday the 13th as my christening of the device and it was amazing.  Even before the sun set the picture was crisp and after it was dark the quality of this product shined.  Projected onto a 100% portable projector screen it made for a night of fun for all that came out.  Its is also important to note that there is a small hard drive on board, and with the Netfli...",16/07/2018
SR5K,4,"Easy to set up, plug and play.",null,"This is a great, little and extremely portable projector to use.  It was plug and play using my eye phone.  I didn’t have to fiddle with any settings.  I used an HDMI cable into the projector as recommended in the instruction sheet to an HDMI to iPhone connector.  Very easy.  The picture quality was very good.  The only thing to be aware of is to achieve the best picture quality you really need it to be dark.  I used the projector outside at night and had great results.  I tried again at sunset and had to wait until the sun went down and it got dark.  It doesn’t come with a remote but you can focus using the built in focus dial.  For the price, the size and its capability it an amazing little projector.  The internal speaker is very good, but keep in mind it’s not going to produce Dolby digital sound.  Given the limitation of needing to be dark it’s a great value, very to easy set up, plug and play and allowed me to entertain a group of campers with movies from my iPhone in the evening.",16/08/2019
Amazon Customer,5,SO SO GOOD.,6,"Listen: I usually skip this whole review process out of sheer laziness but, this projector has brought me out of my shell! Please pay attention to these words very carefully.... THIS IS THE BEST PROJECTOR I HAVE EVER OWNED. I’ve owned maybe 17 in my lifetime and this one is by far the best. It’s so small yet more powerful than my larger ones. Very descreet, yet the 360 speaker volume is tremendous and it fills up the entire room with what appears to be surround sound. It’s so easy to use and is truly a portable soda can smart tv. So freaking good! Order now. Any bad reviews I’d treat with great incredulousness. This is the real deal.",09/04/2018
Daniel Chavez,5,"Product Quality, Company Response/Customer Service are Unrivaled",null,"PRODUCT QUALITY:I absolutely LOVE this little Nebula Capsule and am VERY impressed with Anker as a whole.  The projector is straightforward, easy to use and is about the size of a soda can.  I struggled a little with the initial setup because mine arrived with one of the (many) Asian languages pre-loaded and I had to guess where to go to find English in the settings. Turns out it wasn't that hard by following the settings icon, and it probably would have been much easier if I had just emailed customer support.The image is super clear, and the sound is great for the size speaker that it comes with.  Don't expect it to be loud enough for a giant backyard projector with lots of ambient noise, but there is Bluetooth sound capability for the times when you want it to be really loud.  I connected mine (via Bluetooth) to my home theater surround sound and projected on an outdoor giant inflatable screen.  We were very impressed by the image quality and processing speed of the projector streaming a Netflix movie ov...",15/01/2020
Nathaniel,5,Super handy and functional on the go projector an smart tv.,,"I purchased this and the Capsule II.  Hands down I like this version in almost every aspect.  First, don't expect this to be used during the day in a bright room. Otherwise, it is crisp and clean image.  The manual focus dial works fine, but isn't as good as the auto focus on the Capsule II (I think it works just fine though).  The speaker is loud and suitable for watching a movie.The best part about this is you can stream netflix or amazon directly from the device if on wifi, or from your phone/tablet through screen sharing/chromecast.  It is VERY portable.  I keep mine in an Anker case but often just slide it in the side of my backpack if I have a quick meeting and connect it to the Anker tripod.The battery life was over 4 hours or so, but you can also charge it while watching if needed.It would work fine as a projector in a bedroom with the blinds pulled down for a kid or otherwise.  I really enjoy this piece of tech.Note, my picture is a comparison of the operating system and sizes of the Capsule II (l...",14/10/2019
kevin,3,"Video isn't that sharp, 420p, but rest is good",null,"Things I dislike about it1. The video isn't that sharp - this is probably the main reason why I wouldn't recommend it to someone2. The remote control buttons don't always work. Sometimes I have to press a button multiple times for it to register even though I'm pointing right at the projector.Things I like:1. It's really small and portable2. You can install Netflix, Amazon Video and Youtube.3. You can mirror your smartphone or computer4. 4 hour battery life is pretty good5. I can connect to my bluetooth headphones, so I can watch it at night without disturbing my roommate.People said the noise from the projector is too loud. I don't find that an issue since the noise will be covered by the sound from your movie. I don't even notice the sound when I'm playing a show.In summary, if you're not too picky about the image quality, this projector is pretty good. It's a bit expensive, but very portable.",12/01/2019
Laiv,2,"Compared to others at the same price point, disappointed.",,"I had high hopes for this as it is such a cool concept. But the brightness and the clarity is not worth the price. I've tried other no-name brand projectors that were less expensive and unfortunately they were brighter and clearer. This was a gift to my son, so he enjoys it and cannot tell the difference. But having tried others, I say the price is not worth it. And it is missing an audio jack for external speakers. The Phillips picopix nano projector is a cheaper much better option and the sharpness and brightness is comparable.",13/01/2021
Private125,2,"Does the job, but was expecting more",null,"I don't know, but for the money I spent on this unit was expecting more. My main complain is the sound is not loud enough. A group of 4-5 people need to be really quite and strain themselves to hear the movie or whatever is being projected. Keep in mind, that if you are outdoors, it may be impossible.Setting it up is relatively easy. But there doesn't seem to be way to beam from your phone. So, I suspect the apps on the unit will turn pretty stale in a couple of years - like they do on the (not so) smart TVs. And then, this unit will be obsolete.Otherwise, we have been using it in our backyard, so it does its job, I guess",16/08/2020
Straight Truth Only,1,Many many reasons to move on - this sucks,,"This totally sucks.1) it’s dim as heck2) you can’t opt to leave the cord in charging - you have to unplug it every time you turn it back on to use it - how stupid is that!  Do a firmware update to let us leave the power cord in if we want.  No way could you have made such a terrible hardware choice, make a firmware update it’s been a long time!  Fix that!  Let us choose to keep it plugged in what a pain!3) way way overpriced for these issues4) sucker isn’t clear, super pixelated low quality image for the price5) leaves you witn a bigtime “I got ripped off feeling”",28/06/2019
Renatik,5,Highly recommend to anyone!,,"This projector is amazing! We love it and recommended to all of our friends! We don’t watch TV anymore (we’ve never watched cable TV, only Netflix, YouTube, Amazon prime). The screen is adjustable to any size - you can have it from tiny to wall size. The sound is good but we connect it to our speaker for a better quality.The only downsides are - battery life is short!! Super short! It lasted maybe an hour or two! Which is ok for us but sometimes is annoying. Remote control is not working already and we had the product for about 3 months now. Good thing they have a phone app to use as a control which we like better anyway",25/06/2019
Vin,2,Be prepared to never actually watch anything on it.,,"Be prepared to never be able to watch anything on it. As a device it’s awesome; quiet, portable etc. But to actually watch something on it is nearly impossible.At home with stable WiFi works ok but the operating system is not good.To do something on the go is very difficult. Getting something from your phone or computer on to the device is nearly impossible. Using an hdmi cable from the computer to the nebula is all that seems to work in a no- internet situation.It’s primary function for me is in no internet situations. Kinda what it was designed for if you ask me.",29/05/2021
